state_fips,latitude,longitude
1,32.806671,-86.791130
2,61.370716,-152.404419
4,33.729759,-111.431221
5,34.969704,-92.373123
6,36.116203,-119.681564
8,39.059811,-105.311104
9,41.597782,-72.755371
10,39.318523,-75.507141
11,38.897438,-77.026817
12,27.766279,-81.686783
13,33.040619,-83.643074
15,21.094318,-157.498337
16,44.240459,-114.478828
17,40.349457,-88.986137
18,39.849426,-86.258278
19,42.011539,-93.210526
20,38.526600,-96.726486
21,37.668140,-84.670067
22,31.169546,-91.867805
23,44.693947,-69.381927
24,39.063946,-76.802101
25,42.230171,-71.530106
26,43.326618,-84.536095
27,45.694454,-93.900192
28,32.741646,-89.678696
29,38.456085,-92.288368
30,46.921925,-110.454353
31,41.125370,-98.268082
32,38.313515,-117.055374
33,43.452492,-71.563896
34,40.298904,-74.521011
35,34.840515,-106.248482
36,42.165726,-74.948051
37,35.630066,-79.806419
38,47.528912,-99.784012
39,40.388783,-82.764915
40,35.565342,-96.928917
41,44.572021,-122.070938
42,40.590752,-77.209755
44,41.680893,-71.511780
45,33.856892,-80.945007
46,44.299782,-99.438828
47,35.747845,-86.692345
48,31.054487,-97.563461
49,40.150032,-111.862434
50,44.045876,-72.710686
51,37.769337,-78.169968
53,47.400902,-121.490494
54,38.491226,-80.954453
55,44.268543,-89.616508
56,42.755966,-107.302490
