zone_id,zone_full_name,state_fips,shipment_lane_count,total_tons,total_value_usd,climate_risk_score,climate_risk_tier,risk_intensity_score,risk_intensity_tier,state_storm_event_count,state_storm_damage_usd,ndvi_anomaly,vegetation_stress_tier,latitude,longitude
11,"Birmingham-Hoover-Talladega, AL  CFS Area ",1,8941,87281.02158300004,95814.49454699998,0.1461,Low,0.0089,Low,13691,480800250.0,-0.01980000000000004,Normal,32.806671,-86.79113
12,"Mobile-Daphne-Fairhope, AL  CFS Area ",1,16007,86118.32065400004,66806.11860899998,0.1461,Low,0.0089,Low,13691,480800250.0,-0.01980000000000004,Normal,32.806671,-86.79113
19,Remainder of Alabama,1,11459,192365.20059899983,229538.0753889999,0.1461,Low,0.0089,Low,13691,480800250.0,-0.01980000000000004,Normal,32.806671,-86.79113
20,Alaska,2,10213,100714.38059500002,75977.873382,0.0265,Low,0.0116,Low,2463,120479740.0,,No Data,61.370716,-152.404419
41,"Phoenix-Mesa, AZ  CFS Area ",4,12170,349168.19101899955,244157.48380199962,0.0965,Low,0.0079,Low,9023,350844150.0,0.02999999999999997,Normal,33.729759,-111.431221
42,"Tucson-Nogales, AZ  CFS Area ",4,9205,45766.79208,46359.405935000046,0.0965,Low,0.0079,Low,9023,350844150.0,0.02999999999999997,Normal,33.729759,-111.431221
49,Remainder of Arizona,4,6894,38715.79500900002,30016.791760000004,0.0965,Low,0.0079,Low,9023,350844150.0,0.02999999999999997,Normal,33.729759,-111.431221
50,Arkansas,5,9151,210846.72108999995,203623.01327600007,0.1354,Low,0.0315,Low,12394,861219800.0,-0.01959999999999995,Normal,34.969704,-92.373123
61,"Los Angeles-Long Beach, CA  CFS Area ",6,54834,706361.7273239996,1790272.7566990003,0.3982,Medium,0.0564,Low,22551,22004059160.0,0.014399999999999968,Normal,36.116203,-119.681564
62,"Sacramento-Roseville, CA  CFS Area ",6,10879,70899.22439800005,124820.76906800015,0.3982,Medium,0.0564,Low,22551,22004059160.0,0.014399999999999968,Normal,36.116203,-119.681564
63,"San Diego-Chula Vista-Carlsbad, CA  CFS Area ",6,19304,81436.294732,202217.23638700007,0.3982,Medium,0.0564,Low,22551,22004059160.0,0.014399999999999968,Normal,36.116203,-119.681564
64,"San Jose-San Francisco-Oakland, CA  CFS Area ",6,34102,297159.87053600006,555044.7007929999,0.3982,Medium,0.0564,Low,22551,22004059160.0,0.014399999999999968,Normal,36.116203,-119.681564
65,"Fresno-Madera-Hanford, CA  CFS Area ",6,8698,48421.74189299997,73761.08084399997,0.3982,Medium,0.0564,Low,22551,22004059160.0,0.014399999999999968,Normal,36.116203,-119.681564
69,Remainder of California,6,14328,168077.81789500001,173424.2760829999,0.3982,Medium,0.0564,Low,22551,22004059160.0,0.014399999999999968,Normal,36.116203,-119.681564
81,"Denver-Aurora, CO  CFS Area ",8,15144,146564.3638139999,214249.54425000004,0.2184,Low,0.1391,Low,17048,5510235910.0,-0.004799999999999971,Normal,39.059811,-105.311104
89,Remainder of Colorado,8,8228,102610.50223699995,83443.17055300003,0.2184,Low,0.1391,Low,17048,5510235910.0,-0.004799999999999971,Normal,39.059811,-105.311104
91,"Hartford-East Hartford-Middletown, CT  CFS Area ",9,9511,33844.78021400001,77625.76516999997,0.0261,Low,0.0026,Low,2452,79740460.0,0.0018000000000000238,Normal,41.597782,-72.755371
92,"New York-Newark, NY-NJ-CT-PA  CFS Area (CT Part)",9,9219,58883.586150000025,117283.29111599998,0.0261,Low,0.0026,Low,2452,79740460.0,0.0018000000000000238,Normal,41.597782,-72.755371
99,Remainder of Connecticut,9,5973,11074.541290000006,11348.410511999995,0.0261,Low,0.0026,Low,2452,79740460.0,0.0018000000000000238,Normal,41.597782,-72.755371
101,"Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (DE Part)",10,7620,37565.16235400003,70427.57577999997,0.0136,Low,0.0,Low,1309,3839090.0,-0.011900000000000022,Normal,39.318523,-75.507141
109,Remainder of Delaware,10,4111,9817.558121,12924.376811999991,0.0136,Low,0.0,Low,1309,3839090.0,-0.011900000000000022,Normal,39.318523,-75.507141
111,"Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (DC Part)",11,4200,4137.345541999998,8195.563915000002,0.0047,Low,0.0265,Low,431,29191500.0,-0.0048000000000000265,Normal,38.897438,-77.026817
121,"Jacksonville-St. Marys-Palatka, FL-GA  CFS Area (FL Part)",12,19138,68965.621405,123091.84099799984,0.431,Medium,0.3486,Medium,11638,41719027080.0,-0.059599999999999986,Elevated Stress,27.766279,-81.686783
122,"Miami-Port St. Lucie-Fort Lauderdale, FL  CFS Area ",12,37132,165513.204674,266257.564202,0.431,Medium,0.3486,Medium,11638,41719027080.0,-0.059599999999999986,Elevated Stress,27.766279,-81.686783
123,"Orlando-Lakeland-Deltona, FL  CFS Area ",12,14078,119477.89183400024,212628.48071299994,0.431,Medium,0.3486,Medium,11638,41719027080.0,-0.059599999999999986,Elevated Stress,27.766279,-81.686783
124,"Tampa-St. Petersburg-Clearwater, FL  CFS Area ",12,16272,74020.96755300002,136068.63255299986,0.431,Medium,0.3486,Medium,11638,41719027080.0,-0.059599999999999986,Elevated Stress,27.766279,-81.686783
129,Remainder of Florida,12,13760,207071.7019330002,162832.04892499995,0.431,Medium,0.3486,Medium,11638,41719027080.0,-0.059599999999999986,Elevated Stress,27.766279,-81.686783
131,"Atlanta-Athens-Clarke County-Sandy Springs, GA-AL  CFS Area (GA Part)",13,26878,198632.22442400004,508505.4763130001,0.1874,Low,0.0334,Low,15321,3766192190.0,0.02290000000000003,Normal,33.040619,-83.643074
